Fecha,Producto,Categoría,Municipio,Vendedor,Ventas,UnidadesVendidas
2021-06,Pan,Panadería,Tlaltenango,Ana,119,21
2021-12,Manzana,Frutas,Guadalupe,Francisco,184,47
2021-11,Leche,Lácteos,Tlaltenango,Nora,163,52
2021-09,Leche,Lácteos,Guadalupe,Clauido,173,46
2021-05,Jugo de Naranja,Bebidas,Guadalupe,Francisco,75,68
2021-05,Jugo de Naranja,Bebidas,Guadalupe,Clauido,57,22
2021-12,Jugo de Naranja,Bebidas,Jerez,Clauido,91,51
2021-04,Manzana,Frutas,Zacatecas,Nora,58,58
2021-09,Platano,Frutas,Guadalupe,Héctor,164,94
2021-08,Platano,Frutas,Zacatecas,Clauido,134,51
2021-07,Leche,Lácteos,Jerez,Clauido,96,44
2021-11,Leche,Lácteos,Tlaltenango,Héctor,92,20
2021-12,Pan,Panadería,Fresnillo,Héctor,89,51
2021-12,Jugo de Naranja,Bebidas,Jerez,Clauido,64,21
2021-09,Pan,Panadería,Jerez,Ana,115,76
2021-08,Jugo de Naranja,Bebidas,Zacatecas,Clauido,92,37
2021-11,Manzana,Frutas,Guadalupe,Ana,68,60
2021-04,Jugo de Naranja,Bebidas,Fresnillo,Clauido,174,52
2021-01,Pan,Panadería,Zacatecas,Ana,182,82
2021-11,Platano,Frutas,Jerez,Francisco,178,32
2021-02,Pan,Panadería,Zacatecas,Héctor,123,65
